tree,group,Early_period,Late_period,diff,mat,map,maa,lat,lon,spp,fixer,lifeform,prediff,aidiff,tmpdiff
032 _XX_ A. pinsapo,g,-1.505593216300947,-2.166459085069345,-0.6608658687683981,16.832051573655544,46.47461611746978,0.42323836526513536,36.72,-4.965,Abies pinsapo,n,e,1.3554620555594212,0.009238581006060759,0.5543162325486755
069 _XX_ A2,g,-1.7513992495857071,-2.873312391810513,-1.1219131422248056,1.6794871957542803,21.17000039204573,0.28106939425187427,43.441,81.084,Picea schrenkiana,n,e,2.0395603696187656,0.015222221009213888,0.8500000494611353
069 _XX_ A3,g,-2.090085577021011,-2.79480142703952,-0.7047158500185087,1.6794871957542803,21.17000039204573,0.28106939425187427,43.438,81.093,Picea schrenkiana,n,e,1.6340135149404276,0.010560146438327839,0.906802771955121
049 _XX_ Abies alba,g,-1.640909377971115,-0.9791401307942348,0.6617692471768802,8.722948888364511,53.91871885412779,1.0199548398586524,49.15,9.93,Abies alba,n,e,5.417197812520548,0.024089756387147165,0.6715384700796108
019 _XX_ Abies alba,g,-2.2531108752825486,-2.4075902334813892,-0.15447935819884062,8.502820664758866,80.59487326848202,1.5010129837447572,48.073,8.837,Abies alba,n,e,3.3350538457570593,-0.06663405895802765,1.07124846121844
033 _XX_ Abies fabri,g,0.8640331998329452,-0.958084827098953,-1.8221180269318982,2.3932051768956275,61.82077039050368,0.838877092237291,29.55,101.967,Abies fabri,n,e,6.195527032684282,0.09206075498755095,-0.034126956956554544
149 _XX_ Acer pseudoplatanus,a,-3.9286538072170214,-4.08878472656122,-0.1601309193441982,16.156025923826757,64.04923194547494,0.776890855463607,40.816,14.433,Acer pseudoplatanus,n,d,1.5094019992047336,-0.006324030437645123,0.9277777974567734
177 _XX_ Adansonia digitata,a,1.4274983011471782,-4.573727378781972,-6.00122567992915,22.607820889888664,25.03564152286794,0.1993950822085814,-22.263,29.279,Adansonia digitata,n,d,-1.0634197693366545,-0.010711239063305233,0.37673151957524453
178 _XX_ Adansonia digitata,a,-0.21618214266497468,-4.734633944471526,-4.518451801806552,23.23153882515736,38.32461609115394,0.3286118209010929,-22.382,31.219,Adansonia digitata,n,d,-3.7820658079620912,-0.04644209939603816,0.6514224811476126
180 _XX_ al,a,-0.7218738415470491,-4.458713922710141,-3.7368400811630913,6.170000120319235,89.78423238465419,1.0598020388965517,-41.18,-71.78,Nothofagus pumilio,n,d,3.9393321419469913,0.03654430268690895,0.04471239751699052
067 _XX_ Andes,g,-0.368932537246176,-0.24685468493641208,0.1220778523097639,10.448205308119457,116.64936093076682,1.7198626947945057,-40.167,-73.43,Fitzroya cupressoides,n,e,1.1045456164843017,0.02879628483345642,-0.1844155881311984
139 _XX_ Araucaria araucana,g,0.05238675586141515,0.02598104157020632,-0.026405714291208828,9.390897582433162,83.13192438378167,0.9091342187378004,-38.428,-71.538,Araucaria araucana,n,e,0.07899141018631184,0.002408167647804438,0.10886554056856745
036 _XX_ arcata,g,-0.16179300242359052,-0.5587662183154499,-0.3969732158918594,11.692051498706524,98.27936057448387,1.6526191325075412,40.868,-124.067,Sequoia semperevirens,n,e,0.6557003706795967,0.00842054723361152,0.38688184795798897
108 _XX_ AST,a,-1.8004858510513944,-3.102673841352825,-1.3021879903014306,12.475641246579396,85.70718092505749,1.2763178347389337,44.86,8.32,Quercus petraea,n,d,2.318681319157676,-0.04977904842463421,1.0808691930818526
053 _XX_ baglow,g,-1.283117884148761,0.08094647475775096,1.364064358906512,2.4098718256904528,31.37807745675628,0.41035388249053983,35.9,74.56,Juniperus excelsa,n,e,-0.5117564223355338,-0.0011152413741418732,-0.3347915324318196
135 _XX_ Baselga,g,1.674487195190964,-2.515919153060735,-4.190406348251699,5.251923158688423,108.2898736391312,2.461849157244409,46.08,11.051,Picea abies,n,e,8.534980295085106,-0.03387587697349215,0.8774160039024199
