year,SPEI_mean,tree,lat,lon
1901,0.03361267745494843,001 _XX_ Acer refinerve,35.3,135.717
1902,0.9769145250320435,001 _XX_ Acer refinerve,35.3,135.717
1903,1.9623833554131644,001 _XX_ Acer refinerve,35.3,135.717
1904,0.7480954272406442,001 _XX_ Acer refinerve,35.3,135.717
1905,1.5670284309557505,001 _XX_ Acer refinerve,35.3,135.717
1906,0.6633035327707019,001 _XX_ Acer refinerve,35.3,135.717
1907,0.46952161013281773,001 _XX_ Acer refinerve,35.3,135.717
1908,0.462757787933307,001 _XX_ Acer refinerve,35.3,135.717
1909,0.8939325564673969,001 _XX_ Acer refinerve,35.3,135.717
1910,0.4675792285374233,001 _XX_ Acer refinerve,35.3,135.717
1911,1.083553789981774,001 _XX_ Acer refinerve,35.3,135.717
1912,-0.004743744220052447,001 _XX_ Acer refinerve,35.3,135.717
1913,-0.41248650742428644,001 _XX_ Acer refinerve,35.3,135.717
1914,0.3548514736550195,001 _XX_ Acer refinerve,35.3,135.717
1915,0.8632294844303813,001 _XX_ Acer refinerve,35.3,135.717
1916,0.08400017661707741,001 _XX_ Acer refinerve,35.3,135.717
1917,-0.264510588986533,001 _XX_ Acer refinerve,35.3,135.717
1918,-0.23448000848293304,001 _XX_ Acer refinerve,35.3,135.717
1919,0.11122744956186839,001 _XX_ Acer refinerve,35.3,135.717
1920,0.2060108778199979,001 _XX_ Acer refinerve,35.3,135.717
1921,1.8540181943348475,001 _XX_ Acer refinerve,35.3,135.717
1922,-0.35892655168260845,001 _XX_ Acer refinerve,35.3,135.717
1923,1.6681469253131322,001 _XX_ Acer refinerve,35.3,135.717
1924,-1.4822964668273926,001 _XX_ Acer refinerve,35.3,135.717
1925,-0.5079198458365032,001 _XX_ Acer refinerve,35.3,135.717
1926,-0.8521714335573571,001 _XX_ Acer refinerve,35.3,135.717
1927,-0.7114033954484122,001 _XX_ Acer refinerve,35.3,135.717
1928,0.5828741171530315,001 _XX_ Acer refinerve,35.3,135.717
1929,-1.2469227856823377,001 _XX_ Acer refinerve,35.3,135.717
1930,-0.35323780349322725,001 _XX_ Acer refinerve,35.3,135.717
1931,0.32533990911075045,001 _XX_ Acer refinerve,35.3,135.717
