experiment,model,hurs,tas,mrsos,vpd,ca,sw
ssp585,MRI-ESM2-0,69.97697,287.78714,26.114574,1.1681714663401115,601.7495955651004,-2.2151709710156817
ssp585,CanESM5-CanOE,71.10232,289.04172,21.473017,1.2867705658525086,601.7495955651004,-2.85323790966913
ssp585,IPSL-CM6A-LR,70.109344,286.62714,20.753136,1.085407559638686,601.7495955651004,-2.983451972532386
ssp585,MIROC6,62.407047,291.5859,27.162987,1.3271049778224107,601.7495955651004,-2.115522354043743
ssp585,MIROC-ES2L,63.71995,291.12683,25.277582,1.3164663812892279,601.7495955651004,-2.3161114157541287
ssp585,GFDL-CM4,71.553856,286.36066,25.156433,1.0886474278040936,601.7495955651004,-2.318395149041106
ssp585,CanESM5,71.10249,289.03082,21.67268,1.2858757162625882,601.7495955651004,-2.8193057139383764
ssp585,GFDL-ESM4,75.24595,285.689,24.543802,1.0954788065038343,601.7495955651004,-2.3942980024824583
ssp585,MPI-ESM1-2-HR,67.615326,286.90393,18.291147,1.0658606166914435,601.7495955651004,-3.535458138841987
ssp585,MPI-ESM1-2-LR,67.44536,287.95096,17.78839,1.1378949409411834,601.7495955651004,-3.667901468454986
ssp585,ACCESS-CM2,69.85022,287.25134,20.88567,1.1262552203210923,601.7495955651004,-2.9591119165878155
